year,recipient_id,recipient_name,recipient_postcode,recipient_location,agency,scheme,amount,country,currency
2015,GB-SY23-WELSH ASSEMBLY GOVERNMENT,WELSH ASSEMBLY GOVERNMENT,SY23,ABERYSTWYTH,WG,Technical Assistance,"7,636,181.83",GB,GBP
2015,GB-WR5-Natural England,Natural England,WR5,WORCESTER,RPA,Technical Assistance,"7,373,572.0",GB,GBP
2014,GB-SY23-WELSH ASSEMBLY GOVERNMENT,WELSH ASSEMBLY GOVERNMENT,SY23,ABERYSTWYTH,WG,Technical Assistance,"6,128,222.74",GB,GBP
2015,GB-CB7-G'S GROWERS LTD,G'S GROWERS LTD,CB7,ELY,RPA,Aid in fruit and vegetables sector,"5,807,429.64",GB,GBP
2014,GB-PL30-National Trust,National Trust,PL30,Bodmin,RPA,Agri-environment payments,"4,646,028.86",GB,GBP
2015,GB-TN12-Berry Gardens Growers Ltd,Berry Gardens Growers Ltd,TN12,TONBRIDGE,RPA,Aid in fruit and vegetables sector,"4,528,815.39",GB,GBP
2014,GB-CB7-G'S GROWERS LTD,G'S GROWERS LTD,CB7,ELY,RPA,Aid in fruit and vegetables sector,"4,124,261.65",GB,GBP
2015,GB-EH11-SG:RPID:FUTURES,SG:RPID:FUTURES,EH11,Edinburgh,SGRPID,Technical assist,"4,110,035.34",GB,GBP
2014,GB-TR15-Duchy Rural Business School c/o Cornwall College,Duchy Rural Business School c/o Cornwall College,TR15,Redruth,RPA,Vocational training and information actions,"3,525,131.44",GB,GBP
2014,GB-EX1-RSPB,RSPB,EX1,Exeter,RPA,Agri-environment payments,"3,518,350.6",GB,GBP
2014,GB-PL30-National Trust,National Trust,PL30,Bodmin,RPA,Single area payment scheme,"3,403,746.7",GB,GBP
2014,GB-AB31-Frank A Smart & Son Ltd,Frank A Smart & Son Ltd,AB31,Banchory,SGRPID,Single area payment scheme,"3,287,587.02",GB,GBP
2014,GB-SY23-MENTER A BUSNES,MENTER A BUSNES,SY23,CEREDIGION,WG,Vocational training and information actions,"3,102,458.59",GB,GBP
2014,GB-TN12-Berry Gardens Growers Ltd,Berry Gardens Growers Ltd,TN12,TONBRIDGE,RPA,Aid in fruit and vegetables sector,"2,928,085.1",GB,GBP
2015,GB-AB31-Frank A Smart & Son Ltd,Frank A Smart & Son Ltd,AB31,BANCHORY,SGRPID,Single area payment scheme,"2,866,497.09",GB,GBP
2015,GB-SG19-RSPB,RSPB,SG19,SANDY,RPA,Agri-environment-climate,"2,821,606.03",GB,GBP
2015,GB-ME14-Farm Fresh PO Ltd,Farm Fresh PO Ltd,ME14,MAIDSTONE,RPA,Aid in fruit and vegetables sector,"2,781,706.75",GB,GBP
2015,GB-SN2-National Trust,National Trust,SN2,SWINDON,RPA,Single area payment scheme,"2,585,264.24",GB,GBP
2015,GB-SN2-National Trust,National Trust,SN2,SWINDON,RPA,Agri-environment-climate,"2,406,649.48",GB,GBP
2015,GB-BT34-NEWRY & MOURNE DISTRICT COUNCIL,NEWRY & MOURNE DISTRICT COUNCIL,BT34,NEWRY,DAERA,Implementing local development strategies. Quality of life/diversification,"2,298,295.7",GB,GBP
2014,GB-ME14-Farm Fresh PO Ltd,Farm Fresh PO Ltd,ME14,MAIDSTONE,RPA,Aid in fruit and vegetables sector,"2,272,639.53",GB,GBP
2014,GB-YO24-YORKSHIRE WILDLIFE TRUST,YORKSHIRE WILDLIFE TRUST,YO24,YORK,RPA,Non-productive investments,"2,142,095.57",GB,GBP
2014,GB-SA62-PUFFIN PRODUCE LTD,PUFFIN PRODUCE LTD,SA62,PEMBROKESHIRE,WG,Adding value to agricultural and forestry products,"1,994,129.78",GB,GBP
2014,GB-SO43-VERDERERS OF THE NEW FOREST,VERDERERS OF THE NEW FOREST,SO43,LYNDHURST,RPA,Agri-environment payments,"1,987,987.96",GB,GBP
2015,GB-EH12-RSPB,RSPB,EH12,EDINBURGH,SGRPID,Single area payment scheme,"1,961,450.37",GB,GBP
2015,GB-SY23-MENTER A BUSNES,MENTER A BUSNES,SY23,CEREDIGION,WG,Vocational training and information actions,"1,936,668.28",GB,GBP
2014,GB-PL30-National Trust,National Trust,PL30,Bodmin,RPA,Non-productive investments,"1,896,493.52",GB,GBP
2015,GB-LL11-TOMLINSON'S DAIRIES LTD,TOMLINSON'S DAIRIES LTD,LL11,CLWYD,WG,Adding value to agricultural and forestry products,"1,872,388.58",GB,GBP
2014,GB-DN14-Farmcare Trading Ltd,Farmcare Trading Ltd,DN14,GOOLE,RPA,Single area payment scheme,"1,766,622.01",GB,GBP
2015,GB-SO43-VERDERERS OF THE NEW FOREST,VERDERERS OF THE NEW FOREST,SO43,LYNDHURST,RPA,Agri-environment-climate,"1,702,111.61",GB,GBP
2015,GB-IV2-Glenfeshie Estate Ltd,Glenfeshie Estate Ltd,IV2,INVERNESS,SGRPID,Investment in forest area development and improvement of the viability of forests,"1,619,706.24",GB,GBP
2014,GB-CT5-Fruition PO Limited,Fruition PO Limited,CT5,WHITSTABLE,RPA,Aid in fruit and vegetables sector,"1,619,199.98",GB,GBP
2015,GB-DN14-Farmcare Trading Ltd,Farmcare Trading Ltd,DN14,GOOLE,RPA,Single area payment scheme,"1,617,124.86",GB,GBP
2015,GB-EH10-Isle of Harris Distillers Ltd,Isle of Harris Distillers Ltd,EH10,Edinburgh,SGRPID,Investments in physical assets,"1,539,049.0",GB,GBP
2015,GB-PE20-SPECIALITY PRODUCE LTD,SPECIALITY PRODUCE LTD,PE20,BOSTON,RPA,Aid in fruit and vegetables sector,"1,537,344.58",GB,GBP
2014,GB-WV9-ADAS UK LTD,ADAS UK LTD,WV9,Pendeford,RPA,Vocational training and information actions,"1,530,437.13",GB,GBP
2014,GB-DD11-ANGUS GROWERS LTD,ANGUS GROWERS LTD,DD11,ARBROATH,RPA,Aid in fruit and vegetables sector,"1,485,792.76",GB,GBP
2015,GB-CT5-Fruition PO Limited,Fruition PO Limited,CT5,WHITSTABLE,RPA,Aid in fruit and vegetables sector,"1,485,565.91",GB,GBP
2014,GB-PL6-Serco Regional Services Ltd,Serco Regional Services Ltd,PL6,PLYMOUTH,RPA,Vocational training and information actions,"1,458,905.74",GB,GBP
2015,GB-SN2-National Trust,National Trust,SN2,SWINDON,RPA,Investments in physical assets,"1,454,052.33",GB,GBP
2015,GB-DD9-A P Jess (Brechin) Ltd,A P Jess (Brechin) Ltd,DD9,BRECHIN,SGRPID,Investments in physical assets,"1,429,303.0",GB,GBP
